"Year","Simulation","Pathway","RP_mean","RP_max","RP_min","Battery_Discharges_GWh","Shortages_TWh","CO2_tons"
2050,831,"C2",0.657232011611736,0.912603808119404,0.0912860990580668,2170.61704742433,0.04378569,3720882.226886
2025,831,"C3",0.168271436335899,0.529668677669032,0.0158667214161463,37.5611251386488,0.01717794,33655067.8267282
2026,831,"C3",0.19233406191729,0.599957979343081,0.0154378324977339,20.0041856465721,0.00179915,28277731.7340239
2027,831,"C3",0.21612839964268,0.619157391073642,0.0242592031115982,21.3980795496255,0.00379688,27847091.747309
2028,831,"C3",0.241383614471928,0.669878083730671,0.0199666343153624,37.4098503965289,0.00044563,27244114.9325004
2029,831,"C3",0.264923077421528,0.699853052782844,0.0259093225368222,39.027261991069,0.00028663,26887657.5953214
2030,831,"C3",0.289007777148954,0.726362793611467,0.0249319169744951,47.6514322844035,0.0099915,25498203.7014808
2031,831,"C3",0.31296500041079,0.738451054270098,0.0259347768512561,225.883141305476,0.01679375,16649250.1371504
2032,831,"C3",0.3352506453042,0.74945140766697,0.0221672571633556,360.970819744311,0.01776654,15519511.6722626
2033,831,"C3",0.359583247520964,0.76772306835961,0.0391214174875789,592.608282080668,0.03625611,14248361.9123164
2034,831,"C3",0.379461014822623,0.781374901043351,0.0439843604125692,866.289014049034,0.04382965,13238343.8394889
2035,831,"C3",0.398318930093215,0.794732500458402,0.0376816708528829,1243.180699807,0.06219345,12390482.639502
2036,831,"C3",0.416567624368851,0.792277758057147,0.0431213547504992,1532.44002086431,0.04789104,11740221.5471328
2037,831,"C3",0.433566878854769,0.806294639983333,0.0382039693020762,1906.67866935798,0.08196988,10616044.9110631
2038,831,"C3",0.450427925594606,0.821366311798574,0.0576394784363953,2049.82269620769,0.08337271,10537154.7756126
2039,831,"C3",0.47127572186182,0.82837694984222,0.0595430148988767,2337.97604718108,0.12038705,10028022.6886376
2040,831,"C3",0.486987438538102,0.840914736282444,0.042802064411591,2389.70868934904,0.11285011,9980509.91754067
2041,831,"C3",0.488882042650958,0.836590527514574,0.0427878195664533,3183.24606215481,0.06412319,6357771.29321999
2042,831,"C3",0.502244240028223,0.842687128728552,0.0555246985528956,3283.63617995774,0.0657624,6362688.54976797
2043,831,"C3",0.517434887982113,0.849709440115466,0.0484925291343374,3367.24313789291,0.08012575,6034360.2535919
2044,831,"C3",0.533777648094578,0.855327859528682,0.0538950504202785,3590.09159288692,0.0681882,5492906.50915422
2045,831,"C3",0.544745237757514,0.863512466217269,0.0564396624525966,3715.92822335544,0.04104623,5403966.37038371
2046,831,"C3",0.559620507870498,0.867118291621153,0.0792527075306816,3713.94293218969,0.05502349,4911123.37543828
2047,831,"C3",0.574100071216751,0.876644472932443,0.0828561291815851,3691.13782605006,0.04493594,4413034.93291367
2048,831,"C3",0.587909778672769,0.877566786455441,0.0717998179000708,3749.92413617764,0.0300932,3860529.06574611
2049,831,"C3",0.603388101483848,0.875309085885275,0.07112134657394,3679.60888814695,0.03504808,3148982.87403631
2050,831,"C3",0.613518805620765,0.88942255023789,0.0808037511116685,3617.14674528048,0.02086267,2883918.27790792
2025,831,"D",0.151347796972451,0.494070105248064,0.0147663474616687,46.0160108218887,0.02056796,34700640.7419973
2026,831,"D",0.15415723495306,0.522330924925708,0.0131847593859153,26.4895437901754,0.00545261,30901439.1676405
2027,831,"D",0.156631480975128,0.524305529745668,0.0183501893257388,34.0210183368892,0.01043458,31937774.0668859
2028,831,"D",0.15921983573441,0.526251570330358,0.0136143006017396,54.381584161435,0.00817,33134301.6024578
2029,831,"D",0.161252115594875,0.537698319393344,0.0169740713229501,81.4128745398721,0.01095757,34201960.8391403
2030,831,"D",0.162892445598297,0.542831698195251,0.0168199654738127,147.27564554998,0.02810143,35423030.4659525
2031,831,"D",0.164381212515345,0.555863529979188,0.0127188980348843,101.095467679527,0.01350511,31589878.2696589
2032,831,"D",0.166817363385376,0.548512791553416,0.0125324244234337,158.802519185743,0.02678965,32855054.8925229
2033,831,"D",0.163396325213118,0.53657236964871,0.0195855504935912,233.291278432227,0.04230947,33938820.3286167
2034,831,"D",0.159980056452996,0.52745301748803,0.0184786972977702,316.354138827395,0.05408631,34961285.2973925
2035,831,"D",0.156669398930252,0.485850561659931,0.0179084920266198,431.919861471571,0.05380694,36005339.6356472
2036,831,"D",0.154304225551809,0.471711403050724,0.0133424401279832,541.985407882639,0.0641169,36976220.3672086
2037,831,"D",0.15220405868907,0.496764682548483,0.017669263956739,608.178577316414,0.08362746,37736112.2537638
2038,831,"D",0.149967216002471,0.483880782925138,0.0169973729920227,646.835235819579,0.08481137,38533664.9638228
2039,831,"D",0.150233403089418,0.47796974382883,0.0111773656357748,622.187107383804,0.08980265,39001732.3600578
2040,831,"D",0.148859081593608,0.471094555200597,0.0157439299508539,652.817302302511,0.08208677,39620591.2405362
2041,831,"D",0.146090439531622,0.458127914077366,0.0127289637553548,482.514994553353,0.03810547,35337833.2233177
2042,831,"D",0.14556251919667,0.451606138572766,0.0134372017448747,484.434520373958,0.03672767,35769110.0631358
2043,831,"D",0.145453585110901,0.457066724616213,0.0173988333146653,437.285189658406,0.03093867,36202047.4563814
2044,831,"D",0.145627757979944,0.442719160908769,0.0129606934156638,368.132118767107,0.02218334,36490762.1975361
2045,831,"D",0.145755403359332,0.456633035808966,0.0163844904404572,301.496384496371,0.01747299,36631406.4301651
2046,831,"D",0.146333853962956,0.463551429457852,0.0149509826560252,257.181722830418,0.0081327,36764268.1952655
2047,831,"D",0.148446487850982,0.473777350487757,0.0129389100227518,203.82266833236,0.00789302,36509265.4725575
2048,831,"D",0.149598779282359,0.452800928444568,0.0139734422845904,142.989822533537,0.00248055,36286227.6444959
2049,831,"D",0.151767647928058,0.449953433526763,0.0182608202501458,83.9009543045779,0.00015078,35729605.9488315
2050,831,"D",0.153070388605213,0.45275565188709,0.0161655834969085,58.7928024848927,0,35132967.4175242
