"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"86","B3","QC","Upper",35747551813.1688
"86","B3","NYISO","Lower",2638517400.6871
"86","B3","NYISO","Upper",7928237381.87229
"86","B3","NB","Lower",278085945.181396
"86","B3","NB","Upper",828121485.436237
"87","D","QC","Lower",21468433289.2811
"87","D","QC","Upper",63931569263.2769
"87","D","NYISO","Lower",5968955087.02599
"87","D","NYISO","Upper",17935562160.5348
"87","D","NB","Lower",586494041.466612
"87","D","NB","Upper",1746540324.07865
"88","B1","QC","Lower",9394299880.40924
"88","B1","QC","Upper",27975601451.2826
"88","B1","NYISO","Lower",2552559276.74181
"88","B1","NYISO","Upper",7669949749.82516
"88","B1","NB","Lower",270743604.733102
"88","B1","NB","Upper",806256482.964956
"89","B1","QC","Lower",9382992759.64268
"89","B1","QC","Upper",27941929596.2052
"89","B1","NYISO","Lower",2549797295.89558
"89","B1","NYISO","Upper",7661650528.5324
"89","B1","NB","Lower",271583869.605894
"89","B1","NB","Upper",808758735.979441
"90","C3","QC","Lower",9184448280.07635
"90","C3","QC","Upper",27350677315.4171
"90","C3","NYISO","Lower",2457912828.74272
"90","C3","NYISO","Upper",7385555374.8279
"90","C3","NB","Lower",262441735.182809
"90","C3","NB","Upper",781534066.521355
