Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD,County
2046,70,D,90574.3791440848,256021.859088374,9088339.68077199,0,3649948.56275948,200076.979257165,13284961.4610211,
2046,73,D,90177.660538858,254900.475361487,9048532.46954896,0,3633961.6742304,199200.635848588,13226772.9155283,
2046,87,D,90082.352813252,254631.073999582,9038969.18031978,0,3630120.98220046,198990.103002331,13212793.6923354,
2047,94,D,77960.6303962435,296778.613098696,12580690.1618909,0,4230014.85275826,269237.764270111,17454682.0224142,
2047,17,D,77828.8141558524,296276.818272149,12559418.6653645,0,4222862.72158827,268782.535654373,17425169.5550352,
2047,21,D,77770.3983679484,296054.442485433,12549991.9723728,0,4219693.17756055,268580.796185959,17412090.7869727,
2047,23,D,77971.6193910795,296820.445734351,12582463.4818156,0,4230611.09744147,269275.71486628,17457142.3592487,
2047,25,D,78007.6549072451,296957.624852266,12588278.6177553,0,4232566.32494325,269400.163857488,17465210.3863156,
2047,26,D,77952.1432060465,296746.304271497,12579320.5640609,0,4229554.3518566,269208.4536796,17452781.8170747,
2047,30,D,77957.7809432295,296767.765870944,12580230.3389608,0,4229860.24615093,269227.923657549,17454044.0555834,
2047,55,D,77895.8441892595,296531.986557082,12570235.4593995,0,4226499.6603284,269014.024499983,17440176.9749743,
2047,57,D,77876.6854666389,296459.053602343,12567143.7713005,0,4225460.13972892,268947.859672705,17435887.5097711,
2047,70,D,77990.3558354416,296891.771170586,12585487.0258795,0,4231627.70592112,269340.421351653,17461337.2801583,
2047,73,D,77892.4276718358,296518.980642462,12569684.1279529,0,4226314.28574416,269002.225525192,17439412.0475365,
2047,87,D,77963.1778788568,296788.310792943,12581101.2551477,0,4230153.07495114,269246.562025079,17455252.3807957,
2048,94,D,90748.8573795565,256515.047588677,9105847.0320324,0,3656979.6524651,200462.39816513,13310552.9876309,
2048,17,D,90475.2906053679,255741.770699843,9078397.02031061,0,3645955.51226448,199858.094670896,13270427.6885512,
2048,21,D,90558.6178478899,255977.307456979,9086758.17378313,0,3649313.41713731,200042.162871321,13282649.6790966,
2048,23,D,90467.3785249591,255719.406036076,9077603.11286111,0,3645636.67280028,199840.617044632,13269267.1872671,
2048,25,D,90530.9385041788,255899.067704168,9083980.79589587,0,3648198.0003743,199981.019758557,13278589.8222371,
2048,26,D,90495.6007955672,255799.180451943,9080434.96867146,0,3646773.96832488,199902.959471976,13273406.6777158,
2048,30,D,90439.43667564,255640.424272396,9074799.39485254,0,3644510.67763778,199778.894062267,13265168.8275006,
2048,55,D,90596.7651946302,256085.136566315,9090585.92340032,0,3650850.67143288,200126.429591939,13288244.9261861,
2048,57,D,90525.0099091168,255882.309654663,9083385.91369781,0,3647959.09101351,199967.923611474,13277720.2478866,
2048,70,D,90659.1987972404,256261.614364572,9096850.58448194,0,3653366.60850326,200264.34416262,13297402.3503096,
2048,73,D,90691.509481468,256352.945285331,9100092.67652115,0,3654668.65811788,200335.717813305,13302141.5072191,
2048,87,D,90596.0201657205,256083.030632072,9090511.16632368,0,3650820.64840403,200124.783838083,13288135.6493636,
2049,94,D,76429.236971953,290948.942221749,12333565.605701,0,4146923.97859215,263949.082794881,17111816.8462817,
2049,17,D,76185.8304827186,290022.348376534,12294286.5284425,0,4133717.14509829,263108.476213876,17057320.3286139,
2049,21,D,76144.4338026927,289864.760511704,12287606.24889,0,4131471.0297132,262965.51239327,17048051.9853109,
2049,23,D,76175.6566735284,289983.618969575,12292644.7569415,0,4133165.13103985,263073.34086894,17055042.5044934,
2049,25,D,76378.3966796595,290755.404645671,12325361.388241,0,4144165.46842584,263773.50537122,17100434.1633634,
2049,26,D,76317.7475428685,290524.527001263,12315574.2944903,0,4140874.74658163,263564.053011593,17086855.3686277,
2049,30,D,76409.0276594123,290872.009907105,12330304.3814373,0,4145827.45472136,263879.289745514,17107292.1634707,
2049,55,D,76337.2924839989,290598.930203139,12318728.307578,0,4141935.22275861,263631.551648096,17091231.3046718,
2049,57,D,76282.4326697677,290390.091209667,12309875.4504157,0,4138958.61998055,263442.092767931,17078948.6870436,
2049,70,D,76391.2492027969,290804.331315096,12327435.4301077,0,4144862.82507227,263817.89167976,17103311.7273776,
2049,73,D,76370.051469487,290723.636304543,12324014.7020613,0,4143712.67112546,263744.685110047,17098565.7460709,
2049,87,D,76345.2351102325,290629.165997616,12320010.0278413,0,4142366.17652037,263658.981581881,17093009.5870514,
2050,94,D,75998.744155054,110579.945113857,2415468.54189822,0,1579604.22255343,55224.5054714574,4236875.95919201,
2050,17,D,76194.0017051221,110864.049402811,2421674.41378467,0,1583662.57449072,55366.3894165405,4247761.42879986,
2050,21,D,76233.4550571198,110921.45495006,2422928.35990815,0,1584482.59700691,55395.0582041301,4249960.92512637,
2050,23,D,76067.0328353589,110679.306736262,2417638.96143446,0,1581023.57610936,55274.1274572029,4240683.00457264,
2050,25,D,75927.0458076306,110475.622346277,2413189.75289147,0,1578114.0003978,55172.4058502913,4232878.82729346,
2050,26,D,75508.9216179352,109867.241899187,2399900.50925929,0,1569423.45237707,54868.5758086465,4209568.70096213,
2050,30,D,75624.244563218,110035.039474023,2403565.8191218,0,1571820.39476541,54952.3752541973,4215997.87317865,
2050,55,D,75469.9603340978,109810.552322587,2398662.2025411,0,1568613.65730545,54840.2645825022,4207396.63708574,
2050,57,D,75572.1685387722,109959.267643988,2401910.68652409,0,1570738.01493107,54914.5341986785,4213094.6718366,
2050,70,D,75785.2985711259,110269.376811472,2408684.59962236,0,1575167.83943412,55069.4051872547,4224976.51962633,
2050,73,D,76098.9753659008,110725.783863133,2418654.19107451,0,1581687.48913429,55297.3385045997,4242463.77794243,
2050,87,D,76089.0266832953,110711.308297928,2418337.99203551,0,1581480.70965092,55290.109292024,4241909.14595968,
