"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1009","C2","NB","Lower",733821029.051512
"1009","C2","NB","Upper",2185308475.08963
"1009","C3","QC","Lower",26212073234.8987
"1009","C3","QC","Upper",78059177268.2398
"1009","C3","NYISO","Lower",8049732560.76358
"1009","C3","NYISO","Upper",24187898319.6021
"1009","C3","NB","Lower",733821029.051512
"1009","C3","NB","Upper",2185308475.08963
"1009","D","QC","Lower",26212073234.8987
"1009","D","QC","Upper",78059177268.2398
"1009","D","NYISO","Lower",8049732560.76358
"1009","D","NYISO","Upper",24187898319.6021
"1009","D","NB","Lower",733821029.051512
"1009","D","NB","Upper",2185308475.08963
"101","A","QC","Lower",4980416920.56474
"101","A","QC","Upper",14831609990.8686
"101","A","NYISO","Lower",4293161061.44771
"101","A","NYISO","Upper",12900123381.7539
"101","A","NB","Lower",773895597.260234
